% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
-3.0730613507736746,3.0356374166521833,0.08630030515091419-2.2405142514813752E-7i,0.022928968107343906-5.952780784080756E-8i,0.03507856789840025-9.107039790934677E-8i,0.009333067687418817-2.4230355995998742E-8i
-2.5982253049524364,2.0785070710072175,0.09300625274247074-2.4146129539402197E-7i,-0.025836272357836882+6.707570305998047E-8i,0.03221573991994816-8.363797125217752E-8i,-0.0027257818639090164+7.07662980082791E-9i
-3,2.5,0.10697728915874098-2.7773266910918136E-7i,-7.375178170187328E-4+1.9147315607569563E-9i,0.038779064802515806-1.006775667794209E-7i,-1.7817456734825488E-4+4.625738654100766E-10i
-2.6495959871580683,2.6377707295266672,0.08828914027250773-2.2921480600292548E-7i,-0.0034544515812869963+8.968390071611734E-9i,0.03377503360081175-8.768618372154561E-8i,0.0012273229132436642-3.1863554520252714E-9i
-3.1602648247895506,3.932041142348712,0.04752828396056182-1.2339214487813668E-7i,0.022627706264954417-5.874567682734106E-8i,0.020537174035047734-5.331827162165064E-8i,0.010041523412413534-2.6069637034022165E-8i
-3.603143032659477,3.9313597076878475,0.03340122959148261-8.671571993384109E-8i,0.033239870171771956-8.629680127666841E-8i,0.014555472857558338-3.778867793964354E-8i,0.014489382657220254-3.7617095654409965E-8i
-3.3856809782142037,4.446136724086095,0.0335641819375906-8.71387741201896E-8i,0.013416852000554777-3.483260929922595E-8i,0.014685249531661051-3.812560199493253E-8i,0.005943539955182431-1.5430520147696702E-8i
4.294004437526805,-4.6819961727888915,-0.005730100702510515+1.4876392689398616E-8i,-0.004146143218615406+1.076414846245326E-8i,-0.003751431936561936+9.739405559033659E-9i,-0.002713406330208545+7.044500644887388E-9i
4.509569930729843,-4.4389374273440785,-0.001463183178051423+3.798691971271877E-9i,-0.005331569550350523+1.384173270237852E-8i,-9.577274824978943E-4+2.4864362528242006E-9i,-0.0034897039411324973+9.059911665301603E-9i
4.036708044817469,-4.252731756168243,-0.007929737114854313+2.0587052369356076E-8i,-0.013529582244607583+3.5125277694704095E-8i,-0.005199931957040216+1.3499977359420092E-8i,-0.008862386298820038+2.3008380758236146E-8i
3.603143032659477,-3.9313597076878475,-0.021631757515750888+5.616001115393583E-8i,-0.021401187511580766+5.5561409121873005E-8i,-0.014265318546329285+3.7035384114904344E-8i,-0.014102948565862314+3.6613841856609765E-8i
3.400905728612493,-4.484036494111983,-0.021373960812822248+5.5490723616784985E-8i,-0.008286774904277344+2.1513987974186988E-8i,-0.014015433972090726+3.6386637915419284E-8i,-0.0053496469368894545+1.38886649143778E-8i
4.6497892866162704,-4.718311680432134,-0.0019872587142900577+5.159288212202015E-9i,-0.00226600287562182+5.882959194466414E-9i,-0.0013006375098710637+3.3766935954392377E-9i,-0.0014830459920650463+3.850259480560459E-9i
5,-4.500000000000001,2.2782300117318854E-4-5.91470308305189E-10i,-0.0023244434952108817+6.034681764659359E-9i,1.4911068172712705E-4-3.8711868616666674E-10i,-0.0015213414343542286+3.9496814745675595E-9i
3.270281713519922,-3.504029207451866,-0.03744893624138701+9.722430900438545E-8i,-0.021489366920944348+5.579033904630831E-8i,-0.025154723557048692+6.530627733365359E-8i,-0.014415964912670906+3.742648972007327E-8i
3.0421663962855776,-3.977544744265882,-0.030979202490094438+8.042769322450229E-8i,-0.013012120798680851+3.378185284566196E-8i,-0.02064109948587047+5.358808115853892E-8i,-0.00830260207169036+2.1555078204496546E-8i
3.0730613507736746,-3.0356374166521833,-0.04558414657462379+1.1834480754554039E-7i,-0.012553131714581403+3.2590232975492426E-8i,-0.03127007871751807+8.11828612761291E-8i,-0.008594099337131685+2.2311858584762704E-8i
