% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
-11.97,-17.5,-0.029507575484861305,-0.018570245123347304
-10.830000000000004,-17.5,-0.027198072591636802,-0.01683302015742743
-9.690000000000001,-17.5,-0.02532372091460312,-0.015269711630017583
-8.55,-17.5,-0.02326903740632123,-0.013997083714615931
-7.41,-17.5,-0.021722661672972193,-0.01276142114177239
-6.270000000000003,-17.5,-0.02012683695648574,-0.011723510522783063
-5.129999999999999,-17.5,-0.018476317920590915,-0.010817149751211027
-3.9900000000000024,-17.5,-0.017174798578222402,-0.00998208931177145
-2.849999999999998,-17.5,-0.01602744931990692,-0.009186770175406402
-1.7100000000000009,-17.5,-0.01479281203228233,-0.008491607589719246
-0.5700000000000038,-17.5,-0.013656028849209067,-0.007963928685101764
0.5700000000000003,-17.5,-0.01263127860861906,-0.007392703382006028
1.7099999999999973,-17.5,-0.011650757902788944,-0.0068580937000226804
2.8500000000000014,-17.5,-0.010741862687762676,-0.006404153554881225
3.989999999999999,-17.5,-0.009900750538197587,-0.005974218266279401
5.130000000000003,-17.5,-0.009122455153458522,-0.0055747344782431
6.269999999999996,-17.5,-0.00835132387859087,-0.005248805653900045
7.410000000000005,-17.5,-0.007637067611965545,-0.004935429957383968
8.549999999999997,-17.5,-0.007008514778407709,-0.00462728075771521
9.689999999999998,-17.5,-0.006363634523240384,-0.004388491489658627
10.83,-17.5,-0.00573145570307164,-0.004153972943306856
11.969999999999999,-17.5,-0.0052069385930211464,-0.0039422932029345385
13.11,-17.5,-0.004652377415017657,-0.003754735131347115
14.250000000000007,-17.5,-0.004136052812874689,-0.0035795759486919186
15.389999999999993,-17.5,-0.0036483072048005974,-0.003440873633604194
16.530000000000005,-17.5,-0.0031638550411944516,-0.0033092529506511233
17.67,-17.5,-0.002692430747776669,-0.003182766191212853
18.809999999999995,-17.5,-0.002245059927041396,-0.003083341412603839
19.949999999999996,-17.5,-0.0017897198522933873,-0.002997595214950851
21.090000000000003,-17.5,-0.0013269692721330573,-0.002930089578556137
22.230000000000004,-17.5,-8.398691915289256E-4,-0.002894834996961888
23.369999999999997,-17.5,-3.337461052367776E-4,-0.002962068469848401
24.509999999999998,-17.5,1.131521863833206E-5,-0.0032736472896244253
-24.51,-16.5,-0.015493552625389909,-0.12158168887127391
-23.37,-16.5,-0.04110760762813874,-0.1017987446031214
-22.23,-16.5,-0.05035560983547065,-0.07920011718547758
-21.09,-16.5,-0.05049887751859571,-0.06102214941996144
-19.95,-16.5,-0.047491158982771134,-0.05170914275011862
-18.810000000000002,-16.5,-0.04415430076166587,-0.042895020885983515
-17.67,-16.5,-0.040932806795557095,-0.03692832670428909
-16.530000000000005,-16.5,-0.037784050212976275,-0.032187761223395006
-15.389999999999999,-16.5,-0.03481898862805413,-0.028478762348242582
-14.250000000000002,-16.5,-0.03272454605031268,-0.02564178229395417
-13.110000000000001,-16.5,-0.029923868677556364,-0.022856742476414796
